PickkingItem			TargetItem			ResultItem		
Soul Metal	2004	250	Warrior ring +23	60862	1	Warrior ring +24	60863	1
Soul Metal	2004	250	Warrior ring +24	60863	1	Warrior ring +25	60864	1
Soul Metal	2004	250	Warrior Necklace +1	60865	1	Warrior Necklace +2	60866	1
Soul Metal	2004	250	Warrior Necklace +2	60866	1	Warrior Necklace +3	60867	1
Soul Metal	2004	250	Warrior Necklace +3	60867	1	Warrior Necklace +4	60868	1
Soul Metal	2004	250	Warrior Necklace +4	60868	1	Warrior Necklace +5	60869	1
Soul Metal	2004	250	Warrior Necklace +5	60869	1	Warrior Necklace +6	60870	1
Soul Metal	2004	250	Warrior Necklace +6	60870	1	Warrior Necklace +7	60871	1
Soul Metal	2004	250	Warrior Necklace +7	60871	1	Warrior Necklace +8	60872	1
Soul Metal	2004	250	Warrior Necklace +8	60872	1	Warrior Necklace +9	60873	1
Soul Metal	2004	250	Warrior Necklace +9	60873	1	Warrior Necklace +10	60874	1
Soul Metal	2004	250	Warrior Necklace +10	60874	1	Warrior Necklace +11	60875	1
Soul Metal	2004	250	Warrior Necklace +11	60875	1	Warrior Necklace +12	60876	1
Soul Metal	2004	250	Warrior Necklace +12	60876	1	Warrior Necklace +13	60877	1
Soul Metal	2004	250	Warrior Necklace +13	60877	1	Warrior Necklace +14	60878	1
Soul Metal	2004	250	Warrior Necklace +14	60878	1	Warrior Necklace +15	60879	1
Soul Metal	2004	250	Warrior Necklace +15	60879	1	Warrior Necklace +16	60880	1
Soul Metal	2004	250	Warrior Necklace +16	60880	1	Warrior Necklace +17	60881	1
Soul Metal	2004	250	Warrior Necklace +17	60881	1	Warrior Necklace +18	60882	1
Soul Metal	2004	250	Warrior Necklace +18	60882	1	Warrior Necklace +19	60883	1
Soul Metal	2004	250	Warrior Necklace +19	60883	1	Warrior Necklace +20	60884	1
Soul Metal	2004	250	Warrior Necklace +20	60884	1	Warrior Necklace +21	60885	1
Soul Metal	2004	250	Warrior Necklace +21	60885	1	Warrior Necklace +22	60886	1
Soul Metal	2004	250	Warrior Necklace +22	60886	1	Warrior Necklace +23	60887	1
Soul Metal	2004	250	Warrior Necklace +23	60887	1	Warrior Necklace +24	60888	1
Soul Metal	2004	250	Warrior Necklace +24	60888	1	Warrior Necklace +25	60889	1
Soul Metal	2004	250	Sorcerer ring +1	60890	1	Sorcerer ring +2	60891	1
Soul Metal	2004	250	Sorcerer ring +2	60891	1	Sorcerer ring +3	60892	1
Soul Metal	2004	250	Sorcerer ring +3	60892	1	Sorcerer ring +4	60893	1
Soul Metal	2004	250	Sorcerer ring +4	60893	1	Sorcerer ring +5	60894	1
Soul Metal	2004	250	Sorcerer ring +5	60894	1	Sorcerer ring +6	60895	1
Soul Metal	2004	250	Sorcerer ring +6	60895	1	Sorcerer ring +7	60896	1
Soul Metal	2004	250	Sorcerer ring +7	60896	1	Sorcerer ring +8	60897	1
Soul Metal	2004	250	Sorcerer ring +8	60897	1	Sorcerer ring +9	60898	1
Soul Metal	2004	250	Sorcerer ring +9	60898	1	Sorcerer ring +10	60899	1
Soul Metal	2004	250	Sorcerer ring +10	60899	1	Sorcerer ring +11	60900	1
Soul Metal	2004	250	Sorcerer ring +11	60900	1	Sorcerer ring +12	60901	1
Soul Metal	2004	250	Sorcerer ring +12	60901	1	Sorcerer ring +13	60902	1
Soul Metal	2004	250	Sorcerer ring +13	60902	1	Sorcerer ring +14	60903	1
Soul Metal	2004	250	Sorcerer ring +14	60903	1	Sorcerer ring +15	60904	1
Soul Metal	2004	250	Sorcerer ring +15	60904	1	Sorcerer ring +16	60905	1
Soul Metal	2004	250	Sorcerer ring +16	60905	1	Sorcerer ring +17	60906	1
Soul Metal	2004	250	Sorcerer ring +17	60906	1	Sorcerer ring +18	60907	1
Soul Metal	2004	250	Sorcerer ring +18	60907	1	Sorcerer ring +19	60908	1
Soul Metal	2004	250	Sorcerer ring +19	60908	1	Sorcerer ring +20	60909	1
Soul Metal	2004	250	Sorcerer ring +20	60909	1	Sorcerer ring +21	60910	1
Soul Metal	2004	250	Sorcerer ring +21	60910	1	Sorcerer ring +22	60911	1
Soul Metal	2004	250	Sorcerer ring +22	60911	1	Sorcerer ring +23	60912	1
Soul Metal	2004	250	Sorcerer ring +23	60912	1	Sorcerer ring +24	60913	1
Soul Metal	2004	250	Sorcerer ring +24	60913	1	Sorcerer ring +25	60914	1
Soul Metal	2004	250	Sorcerer Necklace +1	60915	1	Sorcerer Necklace +2	60916	1
Soul Metal	2004	250	Sorcerer Necklace +2	60916	1	Sorcerer Necklace +3	60917	1
Soul Metal	2004	250	Sorcerer Necklace +3	60917	1	Sorcerer Necklace +4	60918	1
Soul Metal	2004	250	Sorcerer Necklace +4	60918	1	Sorcerer Necklace +5	60919	1
Soul Metal	2004	250	Sorcerer Necklace +5	60919	1	Sorcerer Necklace +6	60920	1
Soul Metal	2004	250	Sorcerer Necklace +6	60920	1	Sorcerer Necklace +7	60921	1
Soul Metal	2004	250	Sorcerer Necklace +7	60921	1	Sorcerer Necklace +8	60922	1
Soul Metal	2004	250	Sorcerer Necklace +8	60922	1	Sorcerer Necklace +9	60923	1
Soul Metal	2004	250	Sorcerer Necklace +9	60923	1	Sorcerer Necklace +10	60924	1
Soul Metal	2004	250	Sorcerer Necklace +10	60924	1	Sorcerer Necklace +11	60925	1
Soul Metal	2004	250	Sorcerer Necklace +11	60925	1	Sorcerer Necklace +12	60926	1
Soul Metal	2004	250	Sorcerer Necklace +12	60926	1	Sorcerer Necklace +13	60927	1
Soul Metal	2004	250	Sorcerer Necklace +13	60927	1	Sorcerer Necklace +14	60928	1
Soul Metal	2004	250	Sorcerer Necklace +14	60928	1	Sorcerer Necklace +15	60929	1
Soul Metal	2004	250	Sorcerer Necklace +15	60929	1	Sorcerer Necklace +16	60930	1
Soul Metal	2004	250	Sorcerer Necklace +16	60930	1	Sorcerer Necklace +17	60931	1
Soul Metal	2004	250	Sorcerer Necklace +17	60931	1	Sorcerer Necklace +18	60932	1
Soul Metal	2004	250	Sorcerer Necklace +18	60932	1	Sorcerer Necklace +19	60933	1
Soul Metal	2004	250	Sorcerer Necklace +19	60933	1	Sorcerer Necklace +20	60934	1
Soul Metal	2004	250	Sorcerer Necklace +20	60934	1	Sorcerer Necklace +21	60935	1
Soul Metal	2004	250	Sorcerer Necklace +21	60935	1	Sorcerer Necklace +22	60936	1
Soul Metal	2004	250	Sorcerer Necklace +22	60936	1	Sorcerer Necklace +23	60937	1
Soul Metal	2004	250	Sorcerer Necklace +23	60937	1	Sorcerer Necklace +24	60938	1
Soul Metal	2004	250	Sorcerer Necklace +24	60938	1	Sorcerer Necklace +25	60939	1
Soul Metal	2004	250	Archer ring +1	60940	1	Archer ring +2	60941	1
Soul Metal	2004	250	Archer ring +2	60941	1	Archer ring +3	60942	1
Soul Metal	2004	250	Archer ring +3	60942	1	Archer ring +4	60943	1
Soul Metal	2004	250	Archer ring +4	60943	1	Archer ring +5	60944	1
Soul Metal	2004	250	Archer ring +5	60944	1	Archer ring +6	60945	1
Soul Metal	2004	250	Archer ring +6	60945	1	Archer ring +7	60946	1
Soul Metal	2004	250	Archer ring +7	60946	1	Archer ring +8	60947	1
Soul Metal	2004	250	Archer ring +8	60947	1	Archer ring +9	60948	1
Soul Metal	2004	250	Archer ring +9	60948	1	Archer ring +10	60949	1
Soul Metal	2004	250	Archer ring +10	60949	1	Archer ring +11	60950	1
Soul Metal	2004	250	Archer ring +11	60950	1	Archer ring +12	60951	1
Soul Metal	2004	250	Archer ring +12	60951	1	Archer ring +13	60952	1
Soul Metal	2004	250	Archer ring +13	60952	1	Archer ring +14	60953	1
Soul Metal	2004	250	Archer ring +14	60953	1	Archer ring +15	60954	1
Soul Metal	2004	250	Archer ring +15	60954	1	Archer ring +16	60955	1
Soul Metal	2004	250	Archer ring +16	60955	1	Archer ring +17	60956	1
Soul Metal	2004	250	Archer ring +17	60956	1	Archer ring +18	60957	1
Soul Metal	2004	250	Archer ring +18	60957	1	Archer ring +19	60958	1
Soul Metal	2004	250	Archer ring +19	60958	1	Archer ring +20	60959	1
Soul Metal	2004	250	Archer ring +20	60959	1	Archer ring +21	60960	1
Soul Metal	2004	250	Archer ring +21	60960	1	Archer ring +22	60961	1
Soul Metal	2004	250	Archer ring +22	60961	1	Archer ring +23	60962	1
Soul Metal	2004	250	Archer ring +23	60962	1	Archer ring +24	60963	1
Soul Metal	2004	250	Archer ring +24	60963	1	Archer ring +25	60964	1
Soul Metal	2004	250	Archer Necklace +1	60965	1	Archer Necklace +2	60966	1
Soul Metal	2004	250	Archer Necklace +2	60966	1	Archer Necklace +3	60967	1
Soul Metal	2004	250	Archer Necklace +3	60967	1	Archer Necklace +4	60968	1
Soul Metal	2004	250	Archer Necklace +4	60968	1	Archer Necklace +5	60969	1
Soul Metal	2004	250	Archer Necklace +5	60969	1	Archer Necklace +6	60970	1
Soul Metal	2004	250	Archer Necklace +6	60970	1	Archer Necklace +7	60971	1
Soul Metal	2004	250	Archer Necklace +7	60971	1	Archer Necklace +8	60972	1
Soul Metal	2004	250	Archer Necklace +8	60972	1	Archer Necklace +9	60973	1
Soul Metal	2004	250	Archer Necklace +9	60973	1	Archer Necklace +10	60974	1
Soul Metal	2004	250	Archer Necklace +10	60974	1	Archer Necklace +11	60975	1
Soul Metal	2004	250	Archer Necklace +11	60975	1	Archer Necklace +12	60976	1
Soul Metal	2004	250	Archer Necklace +12	60976	1	Archer Necklace +13	60977	1
Soul Metal	2004	250	Archer Necklace +13	60977	1	Archer Necklace +14	60978	1
Soul Metal	2004	250	Archer Necklace +14	60978	1	Archer Necklace +15	60979	1
Soul Metal	2004	250	Archer Necklace +15	60979	1	Archer Necklace +16	60980	1
Soul Metal	2004	250	Archer Necklace +16	60980	1	Archer Necklace +17	60981	1
Soul Metal	2004	250	Archer Necklace +17	60981	1	Archer Necklace +18	60982	1
Soul Metal	2004	250	Archer Necklace +18	60982	1	Archer Necklace +19	60983	1
Soul Metal	2004	250	Archer Necklace +19	60983	1	Archer Necklace +20	60984	1
Soul Metal	2004	250	Archer Necklace +20	60984	1	Archer Necklace +21	60985	1
Soul Metal	2004	250	Archer Necklace +21	60985	1	Archer Necklace +22	60986	1
Soul Metal	2004	250	Archer Necklace +22	60986	1	Archer Necklace +23	60987	1
Soul Metal	2004	250	Archer Necklace +23	60987	1	Archer Necklace +24	60988	1
Soul Metal	2004	250	Archer Necklace +24	60988	1	Archer Necklace +25	60989	1
Soul Metal	2004	250	Assassin ring +1	60990	1	Assassin ring +2	60991	1
Soul Metal	2004	250	Assassin ring +2	60991	1	Assassin ring +3	60992	1
Soul Metal	2004	250	Assassin ring +3	60992	1	Assassin ring +4	60993	1
Soul Metal	2004	250	Assassin ring +4	60993	1	Assassin ring +5	60994	1
Soul Metal	2004	250	Assassin ring +5	60994	1	Assassin ring +6	60995	1
Soul Metal	2004	250	Assassin ring +6	60995	1	Assassin ring +7	60996	1
Soul Metal	2004	250	Assassin ring +7	60996	1	Assassin ring +8	60997	1
Soul Metal	2004	250	Assassin ring +8	60997	1	Assassin ring +9	60998	1
Soul Metal	2004	250	Assassin ring +9	60998	1	Assassin ring +10	60999	1
Soul Metal	2004	250	Assassin ring +10	60999	1	Assassin ring +11	61000	1
Soul Metal	2004	250	Assassin ring +11	61000	1	Assassin ring +12	61001	1
Soul Metal	2004	250	Assassin ring +12	61001	1	Assassin ring +13	61002	1
Soul Metal	2004	250	Assassin ring +13	61002	1	Assassin ring +14	61003	1
Soul Metal	2004	250	Assassin ring +14	61003	1	Assassin ring +15	61004	1
Soul Metal	2004	250	Assassin ring +15	61004	1	Assassin ring +16	61005	1
Soul Metal	2004	250	Assassin ring +16	61005	1	Assassin ring +17	61006	1
Soul Metal	2004	250	Assassin ring +17	61006	1	Assassin ring +18	61007	1
Soul Metal	2004	250	Assassin ring +18	61007	1	Assassin ring +19	61008	1
Soul Metal	2004	250	Assassin ring +19	61008	1	Assassin ring +20	61009	1
Soul Metal	2004	250	Assassin ring +20	61009	1	Assassin ring +21	61010	1
Soul Metal	2004	250	Assassin ring +21	61010	1	Assassin ring +22	61011	1
Soul Metal	2004	250	Assassin ring +22	61011	1	Assassin ring +23	61012	1
Soul Metal	2004	250	Assassin ring +23	61012	1	Assassin ring +24	61013	1
Soul Metal	2004	250	Assassin ring +24	61013	1	Assassin ring +25	61014	1
